lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
1,0,2147,79,68,0.2,0.2,40671,53995,0,0,0,0,0,1.6,2.6,16,26.4,2.4,4670,1730946,95
0,0,170,18,21,0.2,0.2,448,8385,0,0,0,0,0,0,0,15.63,16.83,1,7278,1869002,97
15,3,2162,159,119,2,2.4,40899,31950,0,0,0,0,1.2,6,9.4,150.2,220.2,1,702,1021237,87
0,0,160,12,16,0.2,0.2,2085,8670,0,0,0,0,0,0.2,0.2,15.6,16.8,1,7248,1863704,98
5,1,330,39,38,0.4,0.4,34377,12185,0,0,0,0,0,1,1.2,37.8,47.6,1.4,633,1760253,90
0,0,1201,65,61,0.4,0.4,109352,58703,0,0,0,0,0,0,0,28.4,34.4,1.4,6854,1877461,96
1,0,5744,168,190,0.2,0.2,51175,189975,6,8.8,8,0,4.4,0.6,0.6,27.4,28.6,1.2,312,1013458,89
21,18,2799,291,211,0.6,0.4,374814,259868,2.6,4.8,4.8,0,0,1,1,35.4,71,172,87,13,0
0,0,264,42,33,0.2,0.2,1016,10116,0,0,0,0,0,0.4,0.8,15.63,18.44,1.4,1374,1749756,98
0,0,188,13,24,0.2,0.2,550,6777,0,0,0,0,0,0,0,15.6,16.8,1,5310,1859912,98
4,1,1983,191,152,0.8,0.8,258832,170579,0,0,0,0,0,1.2,1.6,65,65.6,3.2,1143,1535661,90
6,1,2348,144,103,2.4,0.8,37237,10148,0.2,0.2,0.2,0,0.2,1,1,121.8,166.8,2.4,298,1709362,92
25,9,4174,245,135,4.2,9.2,250833,42433,0,0,0,0,0.2,20.8,23.6,295,408.8,3.8,2630,1524755,75
0,0,596,45,196,0.2,0.2,6815,223361,1.8,1.8,1.8,0,0,0.4,0.4,15.6,19.6,1,165,1749568,96
3,0,1131,74,44,1.2,1.8,77364,8905,0.8,0.8,12.8,32.2,0,4.2,7.4,108.6,142.4,3.4,133,1703250,94
11,4,4406,177,151,5.2,5.2,146325,6300,2.4,2.6,2.6,0,4.6,11.4,11.8,202,418.4,3.4,233,1447301,85
17,24,807,47,65,0.4,0.4,2688,13620,0,0,0,0,0,5.99,5.99,28.34,39.32,1.5,701,1037450,93
5,2,1660,125,79,0.6,2.4,36704,25056,3.79,4.79,4.59,0,0.8,1.4,1.8,51.3,70.66,1.5,201,1001517,94
56,11,3910,259,163,10.78,37.13,183614,37938,6.99,21.96,46.51,56.29,3.59,39.32,46.51,505.59,767.07,1,159,1088988,59
18,23,192,14,33,0.2,0.2,427,14377,0,0,0,0,0,0,0,15.4,16.8,1,5274,1858256,98
1,1,369,166,52,0.2,0.2,328107,281166,0,0,0,0,0,0,0,15.6,17,2.6,5463,1828022,96
2,1,301,27,37,0.6,0.4,90093,15683,0,0,0,0,0,0,0,51.6,65.8,1.2,7435,1875941,97
1,0,4813,428,200,0.4,1,37103,65163,4.2,4.2,4.2,0,0.4,1.6,1.6,38,41.4,1,253,1129515,85
13,0,3583,179,136,1.39,1.59,170092,94875,0,0,0,0,0.2,11.95,21.91,111.16,183.07,3.2,566,1059437,83
5,1,1490,172,82,2.2,2.2,462717,19436,5.19,9.58,18.36,35.73,10.18,11.38,11.58,143.11,247.11,1,162,977095,89
5,0,883,47,52,1,2.6,18899,19440,3.8,4.6,4.2,0,1,2,2.2,56.8,98,1,276,1016429,95
10,9,579,87,71,0.6,2,22680,20401,0,0,0,0,0,0.8,0.8,53.2,65,2.6,843,1008656,96
3,1,1875,192,167,0.8,3.59,106247,23835,0,0,0,0,0.2,2.59,3.79,40.72,75.65,1.7,457,1089844,90
16,5,3425,578,238,0.4,0.2,1068774,1051345,5.6,10.2,10.2,0,10.2,3.6,3.8,40.4,85.8,2.6,177,1036813,81
11,11,2391,518,234,0.2,0.2,665687,661896,0,0,0,0,0,0.4,0.4,20.8,44.8,1.4,443,1044834,92
17,0,3902,411,355,15.4,35.4,284485,228809,5.4,15.6,23.6,28.6,0,11.8,13,544.2,1040.6,1,373,1079026,56
56,59,7625,694,826,4.8,5,525258,111782,0,0,0,0,0.2,3.4,5.4,338.4,467.2,7,2345,1370643,57
6,1,2414,249,163,1.2,3.6,583992,472149,2,2.6,2.6,0.8,0.8,11,15.8,61,133.4,167,89,10,0
2,0,4242,212,163,0.4,0.6,97711,77021,0,0,0,0,0.4,8.6,8.6,31.6,108.8,1.6,519,1069346,89
19,0,2078,120,40,2.8,3.6,103404,21483,1.4,1.6,1.6,0,0,21,33.4,175.6,254.6,1.6,281,1745158,90
10,2,2445,149,90,2,2.2,117296,33231,0,0,0,0,0,2.8,4.2,124.4,197.8,2.2,1678,1532469,89
3,2,3163,216,115,0.2,0.2,52430,54479,0,0,0,0,0,1.6,2.2,17.6,18.6,2.2,1400,1754115,86
1,0,5227,171,162,0.2,0.2,102624,56903,3.6,7,10.6,7.2,0.6,3.2,4,15.2,132,4.4,132,1013872,87
16,5,662,68,34,2.2,2,175605,58186,0,0,0,0,0,1.2,2.2,186.4,181,1.8,7836,1866947,88
6,3,2998,141,91,0.2,0.2,297845,265395,0,0,0,0,0,3.19,5.59,45.11,29.74,4,2531,1541389,93
18,28,281,22,19,0.2,0.2,3344,13554,0,0,0,0,0,0,0,16.23,19.04,1.2,6363,1852585,98
11,7,2207,147,111,0.4,0.6,53375,91504,9.6,36.2,89,199.6,1,2.8,3,64,143.2,1,319,1060714,89
8,5,2735,341,201,1.8,4.6,248991,30043,0,0,0,0,0.2,1.4,1.6,135.4,232,2.2,1094,1130794,83
6,0,1464,85,50,6,18.4,7508,8182,1.2,1.2,10.4,13.6,0.8,0,0,164.6,311.6,2,139,1751994,86
11,1,4532,628,554,5.59,1.8,588953,320435,0.2,0.2,0.2,0,2,9.98,17.37,298.4,493.81,5,314,1010052,72
2,1,162,12,15,0.2,0.2,7609,14038,0,0,0,0,0,0,0,16,16.8,1,6356,1848880,99
0,0,275,18,26,0.8,0.6,1420,23585,0,0,0,0,0,0.2,0.4,36.8,45,2.4,1333,1768075,93
2,1,297,40,41,0.4,0.4,2555,12235,1.2,1.2,1.2,0,0.6,0.2,0.2,32.34,39.92,2,351,1741625,93
4,0,1757,133,197,4.4,7.6,191605,173745,10.8,45.6,81,114.4,1.2,21,39,184.6,351.4,1,151,1036051,82
4,1,1552,247,219,3.4,1,141455,55801,0,0,0,0,0,0.2,0.2,169.4,238.2,2.2,6696,1838672,89
8,1,2878,174,87,1,1.6,202656,13263,0,0,0,0,0.2,7.6,14.2,131.2,198.8,1.6,3511,1745048,92
50,65,2292,357,201,0.4,1.8,181979,75166,5.8,9.2,16.2,15.4,1.4,5.4,8,33.8,87,147,88,12,0
14,6,1814,259,144,0.2,0.2,116743,26776,2,2,4.81,5.41,0.4,40.68,65.13,21.04,99.4,3.2,275,1045414,88
51,1,4103,279,205,11.4,32.4,174616,60155,7,19.2,44.8,78.4,0.4,6.4,9.8,391.8,749.2,2,155,1089586,61
156,143,6244,466,338,4.6,2.4,434226,246409,6.2,15.2,25.6,34.2,1,14.2,27.6,244.4,394.8,4.8,145,1325832,73
1,0,432,37,20,0.8,4.2,118932,4598,0,0,0,0,0.2,0,0,27.4,42.4,1.8,606,1760808,96
13,12,2527,254,144,0.2,0.2,516056,485338,0,0,0,0,107.58,25.95,26.15,37.72,238.12,2035,81,19,0
36,52,2326,155,77,0.8,1.2,9028,21940,2.2,17.2,23.2,43.2,0,0.2,0.2,45.8,66.8,1,148,1137347,90
2,1,3363,126,134,0.2,0.2,13163,176688,0,0,0,0,0.2,0.8,0.8,18,19.6,2.2,452,1523230,91
3,1,362,37,44,0.8,1,37567,32976,1.2,1.2,1.2,0,4,0.6,1.2,67.2,92.8,2,284,1719747,96
3,0,3195,239,212,2.4,0.8,69373,51394,0.2,1.6,1.2,0,1.2,0,0,120.76,207.98,2,448,1013560,88
14,1,5004,650,545,8,4,708302,41724,0,0,0,0,0,2,3.4,400.6,607.6,4.4,1679,1696723,71
20,18,4446,293,236,0.6,3,44120,46650,0,0,0,0,0,2.8,6,27.4,49.4,1.7,588,1016550,88
7,2,2404,211,153,1.4,2.61,76530,43705,0.4,0.4,0.4,0,0,5.01,7.41,76.95,129.86,298,89,11,0
1,0,884,73,186,0.2,0.2,30354,53613,2,2.2,2.2,0,0.4,1.4,2.2,22.4,17.2,2.8,969,1716299,95
8,2,4551,974,337,0.8,2.39,596214,74507,10.16,39.24,81.87,309.96,3.19,29.68,54.18,77.89,216.73,1.2,117,1038378,77
0,0,496,69,30,0.2,0.2,15309,7110,0,0,0,0,0,0,0,16.8,16.8,1.6,1054,1762960,91
