STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/1/2000,7.38,1545,1532,0,0,0,39,46,31,,180,170,0,15,17,1,1,,,,,,,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/2/2000,7.61,1826,1837,0,0,0,46,54,37,,180,180,0,21,23.9,1,,,,,,,,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/3/2000,3.13,1045,934,0,0,0,53,60,46,,230,240,0,10.1,13,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/4/2000,14.54,1841,1840,0.62,0,0,51,55,47,,210,210,0,31.1,40,1,1,,,,,,1,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/5/2000,17.67,851,858,0.04,0,0,38,47,28,,320,300,0,28,40,,,,,,,,,,1,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/6/2000,10.51,1951,1951,0,0,0,33,42,23,,200,200,0,16.1,16.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/7/2000,14.09,1545,1540,0,0,0,42,49,35,,270,290,0,31.1,40.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/8/2000,13.42,2352,531,0,0,0,34,38,29,,300,290,0,23,28,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/9/2000,7.16,233,205,0.01,0,0,43,49,37,,220,220,0,16.1,17.9,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/10/2000,15.43,1703,1525,0.58,0,0,49,55,42,,180,120,0,34,40,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/11/2000,20.8,1206,1205,0,0,0,47,53,40,,240,240,0,44.1,49,,,,,,,,,,1,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/12/2000,17,2354,524,0,0,0,44,48,39,,260,290,0,31.1,38.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/13/2000,16.11,1954,2027,0.01,0.3,0,29,40,18,,310,340,0,34,40,1,,,,,,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/14/2000,25.28,1229,1229,0,0,0,19,23,14,,290,290,0,36,40.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/15/2000,9.84,102,105,0,0,0,24,31,16,,310,310,0,25.9,32,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/16/2000,21.25,1935,2123,0,0,0,35,47,22,,310,310,0,45,51,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/17/2000,24.61,405,404,0,0,0,15,22,8,,320,320,0,40,49,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/18/2000,12.75,128,219,0,0,0,12,19,4,,330,330,0,23.9,28,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/19/2000,9.84,1829,1832,0,0,0,20,30,10,,300,320,0,16.1,17.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/20/2000,13.42,2342,2342,0.09,1.4,0,24,28,20,,310,310,0,21.9,25.1,1,,,,,,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/21/2000,27.29,1901,1912,0,0,1,17,24,10,,290,290,0,38.9,47,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/22/2000,18.79,1022,314,0,0,1,15,21,9,,300,280,0,32,40.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/23/2000,7.38,1853,2243,0.01,0.2,1,22,27,16,,50,30,0,14.1,15,1,,,,,,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/24/2000,7.61,2341,2340,0,0,1,30,36,24,,30,30,0,19.9,25.1,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/25/2000,308.03,1217,944,0.53,6.2,2,30,33,26,,20,20,0.4,34,44.1,1,,,1,,1,,,1,,1,,1,1,1,1,,,1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/26/2000,14.54,2001,2000,0.01,0.2,6,27,31,22,,310,310,0.5,23.9,25.9,1,,,,,1,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/27/2000,22.59,1928,1928,0,0,6,17,22,12,,300,290,0.4,31.1,36.9,,,,,,1,,,,,,,,,,,,,,
